Rok,Stan,Total_Precipitation,Atmospheric_Pressure_Station,Global_Radiation,Air_Temperature,Max_Air_Temperature,Min_Air_Temperature,Relative_Humidity,Max_Relative_Humidity,Min_Relative_Humidity,Hourly_Wind_Speed,Max_Wind_Gust
2011,PR,-538327.0,845.0270547945205,-4116.7675799086755,-44.49029680365297,24.0,-9999.0,-48.42876712328767,24.0,-9999.0,-61.07842465753425,10.0
2012,PR,-2148552.0,645.724043715847,-4041.311703096539,-226.89515027322403,20.0,-9999.0,-228.57081056466302,21.0,-9999.0,-241.99203096539162,9.0
2013,PR,-2118455.0,648.6102739726027,-4122.272945205479,-224.71986301369864,21.0,-9999.0,-225.21335616438355,22.0,-9999.0,-237.1222602739726,8.0
2014,PR,-19916847.0,-1568.4994292237443,-5289.462100456621,-2258.8527397260273,22.0,-9999.0,-2259.25,22.0,-9999.0,-2271.0021689497717,8.0
2015,PR,-368172.0,866.8867579908676,-4026.2874429223743,-23.728196347031965,21.0,-9999.0,-24.215182648401825,22.0,-9999.0,-37.15970319634703,9.0
2016,PR,-2838033.0,560.2110655737705,-4094.2806238615667,-305.83094262295083,22.0,-9999.0,-306.3219489981785,23.0,-9999.0,-318.23861566484516,9.0
2017,PR,-1078561.0,778.7872146118722,-4090.707077625571,-105.14280821917808,22.0,-9999.0,-105.65696347031964,22.0,-9999.0,-118.12157534246575,9.0
2018,PR,-1578415.0,716.1727168949772,-4090.020662100457,-162.3033105022831,22.0,-9999.0,-162.82123287671232,24.0,-9999.0,-175.34006849315068,8.0
2019,PR,1394.0,913.2777454291371,1177.059488272921,18.910911843484335,24.0,6.0,18.377314545242807,24.0,-6.0,5.068824967974845,9.0
2020,PR,1183.0,912.9856392294221,,18.403269118505545,22.0,7.0,17.822300058377117,23.0,-3.0,5.242265032107414,9.0
2021,PR,1177.0,912.6723419454697,,18.190735365263667,22.0,7.0,17.64252901353965,23.0,-5.0,5.0910931174089065,8.0
2022,PR,1729.0,912.4579417013682,,17.9051754907793,22.0,7.0,17.38707758210376,23.0,-6.0,4.904189478695549,8.0
2023,PR,1450.0,912.8387059636196,,18.632396960626295,22.0,4.0,18.106875503858113,23.0,-4.0,5.066804883667357,10.0
2003,SC,-16227565.2,-1150.7895974781766,-5315.560378273521,-1950.2867604267701,23.2,-9999.0,-1950.6269762366635,24.0,-9999.0,-1963.3135669253154,9.4
2004,SC,-44014546.4,-4513.924214480874,-7065.089936247723,-5000.460223132969,24.4,-9999.0,-5030.3110428051,24.4,-9999.0,-5038.0118738615665,9.9
2005,SC,-35465470.4,-3476.4829566210046,-6469.9578767123285,-4037.9376369863016,22.6,-9999.0,-4039.3245205479448,22.7,-9999.0,-4047.702363013699,13.4
2006,SC,-11017789.4,-316.4391894977169,-4556.803652968037,-1189.8993493150685,24.2,-9999.0,-1191.4090296803652,24.8,-9999.0,-1282.917317351598,8.8
2007,SC,-8057780.2,1.9979109589041089,-4423.647602739726,-900.6118264840183,24.9,-9999.0,-902.128299086758,25.0,-9999.0,-943.6612671232876,11.2
2008,SC,-307002.2,976.7553164845173,-4001.4020947176687,-14.753267304189436,24.2,-9999.0,-15.203768214936247,24.5,-9999.0,-29.906454918032786,9.4
2009,SC,-388096.4,965.8007305936073,-3960.529680365297,-23.513013698630136,25.6,-9999.0,-25.097876712328766,26.3,-9999.0,-40.189189497716896,11.0
2010,SC,-127913.8,999.2274771689497,-3962.440296803653,6.0375,26.9,-9999.0,4.45755707762557,27.5,-9999.0,-10.441575342465754,8.3
2011,SC,-157703.0,996.674098173516,-3962.9889269406394,3.3667237442922375,25.5,-9999.0,1.784269406392694,25.5,-9999.0,-12.894109589041095,8.5
2012,SC,-1098497.0,877.8394922586521,-3980.461634790528,-104.08905965391622,25.0,-9999.0,-115.94871357012751,25.4,-9999.0,-138.22279143897995,8.2
2013,SC,-308367.2,976.924189497717,-3938.908904109589,-14.752865296803654,25.2,-9999.0,-15.2,25.9,-9999.0,-31.294954337899544,7.8
2014,SC,-28466.8,1012.3701369863014,-3930.711872146119,18.316038812785386,26.3,-9999.0,17.875216894977168,26.5,-9999.0,0.8331278538812784,8.3
2015,SC,-2867435.0,654.7068721461187,-3986.331278538813,-306.6226598173516,25.6,-9999.0,-342.48865296803655,26.7,-9999.0,-368.99026255707764,7.9
2016,SC,-88247.4,1004.87206284153,-3945.5318761384333,10.506432149362476,25.0,-9999.0,10.0547131147541,25.4,-9999.0,-4.9603597449908925,7.6
2017,SC,-68194.8,1007.4888926940638,-3950.2455479452055,13.727180365296805,24.8,-9999.0,13.285182648401825,25.3,-9999.0,-2.547876712328767,8.9
