Rok,Stan,Total_Precipitation,Atmospheric_Pressure_Station,Global_Radiation,Air_Temperature,Max_Air_Temperature,Min_Air_Temperature,Relative_Humidity,Max_Relative_Humidity,Min_Relative_Humidity,Hourly_Wind_Speed,Max_Wind_Gust
2017,MS,1695.0,952.27,788.35,23.99,24.9,5.5,23.31,25.3,0.3,6.31,12.2
2018,MS,1223.1,953.33,675.0,23.68,24.9,7.4,23.02,25.2,0.0,5.86,11.2
2019,MS,1255.2,953.4,731.94,24.56,24.3,6.7,23.84,25.5,0.1,5.98,10.3
2020,MS,1181.9,953.0,14.0,24.61,24.0,6.4,23.88,24.7,0.0,6.03,13.2
2021,MS,1352.4,953.0,14.0,24.34,27.4,7.8,23.66,27.6,0.1,4.45,10.0
2022,MS,1223.0,953.33,14.0,23.87,26.3,7.3,23.26,26.9,0.4,5.68,12.5
2023,MS,1503.4,952.74,14.0,24.55,23.2,6.9,23.86,26.7,0.9,6.0,9.2
2002,MT,0.0,997.73,142.32,30.11,24.5,24.1,29.72,25.1,19.5,5.95,15.0
2003,MT,867.8,994.41,1141.9,26.09,24.9,13.5,25.47,25.7,2.4,4.38,9.5
2004,MT,1002.2,993.74,1188.86,26.22,25.0,12.5,25.58,26.2,3.9,4.31,9.4
2005,MT,1166.2,993.38,2646.0,26.5,25.1,11.1,25.82,26.2,1.4,4.45,8.6
2006,MT,1317.0,993.77,6805.04,26.69,25.4,13.2,25.98,25.9,0.8,4.47,10.6
2007,MT,1608.1,993.51,825.38,25.88,25.6,11.7,25.25,26.5,2.1,4.2,9.5
2008,MT,911.0,993.75,557.18,26.89,25.0,14.6,26.22,25.7,1.8,4.18,7.9
2009,MT,3142.9,993.97,24.11,26.38,25.7,9.7,25.7,26.3,4.9,9.12,6.9
2010,MT,1056.4,993.52,278.25,26.23,25.9,9.8,25.62,26.3,0.9,5.43,6.8
2011,MT,420.8,985.6,615.79,26.75,24.1,10.7,26.01,25.9,1.0,4.55,7.4
2012,MT,1514.6,984.45,538.9,26.55,24.8,11.3,25.96,25.6,0.8,4.52,8.4
2013,MT,1275.5,984.63,484.69,26.32,25.2,9.1,25.75,25.8,0.0,4.57,6.8
2014,MT,1815.4,985.82,419.96,26.59,24.4,12.8,26.0,25.6,5.1,4.53,6.8
2015,MT,916.2,985.13,387.61,27.25,24.7,15.7,26.63,25.9,3.3,4.42,7.2
2016,MT,4941.4,985.36,341.77,26.35,25.6,12.2,25.73,26.2,1.8,4.62,6.3
2017,MT,1005.4,984.77,287.93,27.04,24.9,9.1,26.35,26.1,0.5,4.4,7.0
2018,MT,1511.5,984.99,334.17,26.18,24.8,11.8,25.55,25.7,1.4,4.23,4.9
2019,MT,1161.7,985.9,634.74,27.75,25.9,11.5,27.25,27.0,1.6,4.24,7.3
2020,MT,1108.5,990.77,5.0,28.57,25.1,11.8,27.92,25.2,0.0,4.24,8.0
2021,MT,1222.4,990.87,5.0,27.81,24.0,8.5,27.18,25.7,0.0,4.22,8.4
2022,MT,897.7,990.84,5.0,27.62,24.8,10.6,26.94,25.3,0.5,4.45,5.6
2023,MT,1199.8,990.82,5.0,28.6,24.3,10.2,27.96,24.9,2.9,4.8,8.6
2003,PR,205.5,914.51,267.43,18.69,19.0,4.0,18.57,19.0,0.0,3.71,8.0
2004,PR,0.0,914.45,596.82,21.86,15.41,20.93,21.86,16.71,13.57,5.31,2.62
2005,PR,953.5,913.72,661.08,18.95,20.0,3.0,18.71,20.0,0.0,5.5,4.0
2006,PR,719.5,912.93,569.65,17.23,21.0,1.0,16.82,22.0,0.0,5.38,9.0
2007,PR,1185.0,912.95,669.14,18.57,21.0,1.0,18.1,21.0,0.0,5.6,10.0
2008,PR,1423.5,912.67,645.09,17.37,20.0,0.0,16.88,21.0,0.0,5.42,9.0
2009,PR,1097.0,912.1,734.87,18.2,22.0,1.0,17.57,22.0,0.0,5.31,9.0
2010,PR,1392.0,912.59,705.21,17.85,23.0,5.0,17.23,24.0,0.0,5.4,8.0
2011,PR,1622.5,912.31,623.63,17.22,24.0,1.0,16.71,24.0,0.0,5.16,10.0
2012,PR,1261.0,912.87,682.46,18.12,20.0,5.0,17.58,21.0,0.0,5.15,9.0
2013,PR,1334.5,912.79,663.67,17.49,21.0,6.0,16.97,22.0,0.0,4.97,8.0
2014,PR,1161.0,913.19,622.8,18.62,22.0,7.0,18.1,22.0,0.0,5.01,8.0
2015,PR,1791.0,912.99,612.36,18.54,21.0,7.0,18.05,22.0,0.0,5.09,9.0
2016,PR,1722.0,913.14,692.0,17.75,22.0,5.0,17.24,23.0,0.0,5.19,9.0
2017,PR,1332.0,913.39,663.8,18.25,22.0,6.0,17.72,22.0,0.0,5.2,9.0
